include,done,symp,id,class,desc,species,species by,species syn,species syn by,species alt,POWO,IPNI,TPL,GBIF,TROP,EOL,WFO,NCBI,NCBI id,family,Wyk name,Amar name,Hu name,other name,plant part used,region of origin,country code,lat,lon,source,macroarea,area,native regions,no. of native regions,introduced regions,no. of introduced regions,total regions,spreadability,cultivation,color,usage,TCM,TCM DB,Ayurveda,taste/smell,heat,Major uses,Culinary,Medicinal,Köhler,Wyk,Hu,Words,Notes,Britannica,English,En alt,Plant name,Chinese WN,Chinese Wiki,Chinese simp.,FOC,Chinese,Ch transliteration,Ch literal,Ch alt,Arabic,Ar transliteration,Ar literal,Ar alt,Hungarian,Hu literal,Hu alt,Hu notes,Hindi,Hi transliteration,Hi literal,Hi alt ,Indonesian,Malay,Persian,pharmaceutical,pharma en,TCM name,ECMM,medicinal group,meridian,action,Hu zh,Hu en,Extra
out,,,,,,Picrasma excelsa,,,,,,,,,,,,,,Simaroubaceae,bitterwood; Jamaica quassia; quassia wood,,,,wood,West Indies,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Picrasma quassioides,,,,,,,,,,,,,,Simaroubaceae,bitterwood; quassia wood,,,,wood,E As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Pimenta racemosa,,,,,,,,,,,,,,Myrtaceae,bay rum,,,,fruit,Trop Am,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Pimpinella major,,,,,,,,,,,,,,Apiaceae,greater burnet saxifrage,,,,root,Eur,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Pimpinella saxifraga,,,,,,,,,,,,,,Apiaceae,burnet saxifrage; garden burnet,,,,root,Eur,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Pinus cembra,,,,,,,,,,,,,,Pinaceae,Siberian pine nuts,,,,seed,Eur; As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Pinus cembroides,,,,,,,,,,,,,,Pinaceae,Mexican pine nuts; Mexican piñon,,,,seed,N Am,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Pinus edulis,,,,,,,,,,,,,,Pinaceae,piñon,,,,seed,N Am,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Pinus koraiensis,,,,,,,,,,,,,,Pinaceae,Korean pine nuts,,,,seed,As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Pinus pinea,,,,,,,,,,,,,,Pinaceae,pine nuts; pine seeds; pignoles,,,,seed,Med,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Piper aduncum,,,,,,,,,,,,,,Piperaceae,matico; big pepper; Spanish elder; spiked pepper,,,,fruit,C Am; S Am,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Piper auritum,,,,,,,,,,,,,,Piperaceae,Mexican pepperleaf; alajan pepper,,,,leaf,C Am,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Piper baccatum,,,,,,,,,,,,,,Piperaceae,climbing pepper of Java,,,,fruit; leaf,SE As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Piper capense,,,,,,,,,,,,,,Piperaceae,Cape pepper,,,,fruit,E Afr,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Piper clusii,,,,,,,,,,,,,,Piperaceae,West African black pepper; African cubebs,,,,fruit,W Afr,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Piper guineense,,,,,,,,,,,,,,Piperaceae,West African pepper; Ashanti pepper; Benin pepper,,,,fruit,Trop Afr,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Piper lolot,,,,,,,,,,,,,,Piperaceae,lolot pepper; Vietnamese pepper,,,,leaf,SE As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Piper saigonense,,,,,,,,,,,,,,Piperaceae,Saigon pepper,,,,fruit,SE As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Piper sanctum,,,,,,,,,,,,,,Piperaceae,acoyo; acuyo; cordonillo; xihuitl,,,,herb,C Am,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Piper sarmentosum,,,,,,,,,,,,,,Piperaceae,wild pepper,,,,fruit; leaf,Indomal,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Piper umbellatum,,,,,,,,,,,,,,Piperaceae,shrubby pepper,,,,fruit; stem,Trop Am,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Pistacia terebinthus,,,,,,,,,,,,,,Anacardiaceae,terebinth,,,,resin,Med,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Pistacia vera,,,,,,,,,,,,,,Anacardiaceae,pistachio,,,,seed,W As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Pithecellobium dulce,,,,,,,,,,,,,,Leguminosae,Manila tamarind,,,,fruit; seed,C Am,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Plectranthus amboinicus,,,,,,,,,,,,,,Lamiaceae,Indian borage; Cuban oregano; Spanish sage,,,,fresh leaf,E Afr,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Pluchea indica,,,,,,,,,,,,,,Asteraceae,Indian fleabane; Indian pluchea,,,,leaf,Indomal,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Pogostemon cablin,,,,,,,,,,,,,,Lamiaceae,patchouli; patchouly,,,,leaf,Indomal,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Pogostemon indicus,,P. heyneanus,,,,,,,,,,,,Lamiaceae,Indian patchouli,,,,leaf,Indomal,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Populus balsamifera,,,,,,,,,,,,,,Salicaceae,balsam poplar; hackmatack; tacamahaca poplar,,,,leaf bud ,N Am; Temp As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,Populus nigra,,,,,,,,,,,,,,Salicaceae,black poplar; Lombardy poplar,,,,leaf bud ,Euras,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
